1,,"Kobe Bryant
SMALL FORWARD","$23,500,000"
2,,"Joe Johnson
SMALL FORWARD","$23,180,790"
3,,"Carmelo Anthony
SMALL FORWARD","$22,458,401"
4,,"Dwight Howard
CENTER","$21,436,271"
5,,"LeBron James
SMALL FORWARD","$20,644,400"
,,"Chris Bosh
POWER FORWARD","$20,644,400"
7,,"Chris Paul
POINT GUARD","$20,068,563"
8,,"Deron Williams
POINT GUARD","$19,754,465"
9,,"Rudy Gay
SMALL FORWARD","$19,317,326"
10,,"Kevin Durant
SMALL FORWARD","$18,995,624"
11,,"Derrick Rose
POINT GUARD","$18,862,876"
12,,"Blake Griffin
POWER FORWARD","$17,674,613"
13,,"Zach Randolph
POWER FORWARD","$16,500,000"
14,,"LaMarcus Aldridge
POWER FORWARD","$16,256,000"
15,,"Paul George
SMALL FORWARD","$15,925,680"
16,,"Marc Gasol
CENTER","$15,829,688"
17,,"Brook Lopez
CENTER","$15,719,063"
,,"Kevin Love
POWER FORWARD","$15,719,063"
19,,"Russell Westbrook
POINT GUARD","$15,719,062"
20,,"David Lee
POWER FORWARD","$15,012,000"
21,,"Dwyane Wade
SHOOTING GUARD","$15,000,000"
22,,"Eric Gordon
SHOOTING GUARD","$14,898,938"
,,"Roy Hibbert
CENTER","$14,898,938"
24,,"Tyson Chandler
CENTER","$14,846,887"
25,,"DeMarcus Cousins
CENTER","$14,746,000"
,,"Gordon Hayward
SMALL FORWARD","$14,746,000"
,,"John Wall
POINT GUARD","$14,746,000"
28,,"James Harden
SHOOTING GUARD","$14,728,844"
29,,"Chandler Parsons
SMALL FORWARD","$14,700,000"
30,,"Al Jefferson
CENTER","$13,500,000"
31,,"Nene Hilario
POWER FORWARD","$13,000,000"
,,"Eric Bledsoe
POINT GUARD","$13,000,000"
33,,"Andrew Bogut
CENTER","$12,972,973"
34,,"Derrick Favors
POWER FORWARD","$12,950,000"
35,,"Rajon Rondo
POINT GUARD","$12,909,090"
36,,"Joakim Noah
CENTER","$12,700,000"
